60630035|AAPL|O|2014-03-03 15:30:00-0000|523.42|100|2014-03-03 00:00:00-0000|aeb6ba52-4106-451b-96d0-39928a46fa6e|APPLE INC|1
60630036|AAPL|O|2014-03-03 15:30:00-0000|523.02|200|2014-03-03 00:00:00-0000|fed2bb47-ccc7-475c-8378-e93309e7ae60|APPLE INC|1
60630037|AAPL|O|2014-03-03 15:30:00-0000|523.42|100|2014-03-03 00:00:00-0000|ef0e92e4-fdca-4b74-b3dd-0f858f4d763b|APPLE INC|1
60630038|AAPL|O|2014-03-03 15:30:00-0000|523.2|86030|2014-03-03 00:00:00-0000|1082f3b6-345f-4fbf-a08c-318724d8ede0|APPLE INC|1
60630039|AAPL|O|2014-03-03 15:30:00-0000|523.19|200|2014-03-03 00:00:00-0000|b0d336b8-e52f-4f6e-b728-15bd785b4579|APPLE INC|1
60630040|AAPL|O|2014-03-03 15:30:00-0000|523.2|100|2014-03-03 00:00:00-0000|3b19c03c-7f49-42fd-a10a-7e8f7f875d07|APPLE INC|1
60630041|AAPL|O|2014-03-03 15:30:00-0000|523.064|100|2014-03-03 00:00:00-0000|fc04f0cb-24d7-49c3-8a3b-30c933e5f2e8|APPLE INC|1
60630042|AAPL|O|2014-03-03 15:30:00-0000|523.05|100|2014-03-03 00:00:00-0000|7221df51-a884-456f-ac58-875ff92c9025|APPLE INC|1
60630043|AAPL|O|2014-03-03 15:30:00-0000|523.02|200|2014-03-03 00:00:00-0000|eb1c36d6-ea67-4beb-a21c-c45e824a2189|APPLE INC|1
60630044|AAPL|O|2014-03-03 15:30:00-0000|523.03|100|2014-03-03 00:00:00-0000|bd95f3c5-2432-45a0-84c3-487e4cd3a546|APPLE INC|1
60691648|ACAS|O|2014-03-03 15:30:00-0000|15.45|9414|2014-03-03 00:00:00-0000|f729fb7f-f8da-4385-a695-aee3cc3e9521|AMERICAN CAPITAL LTD|1
60707197|ACN|N|2014-03-03 15:30:00-0000|82.56|100|2014-03-03 00:00:00-0000|4f58bf23-5f6c-448b-9aed-8e4d580b24a5|ACCENTURE PLC IRELAND|1
60707198|ACN|N|2014-03-03 15:30:00-0000|82.57|400|2014-03-03 00:00:00-0000|2772f058-1dba-4f1d-bfd9-a56e2f61351b|ACCENTURE PLC IRELAND|1
60712830|ACT|N|2014-03-03 15:30:00-0000|213.0|100|2014-03-03 00:00:00-0000|8e385ad8-9d51-4db0-b19c-b002233fa35e|ACTAVIS INC|1
60712831|ACT|N|2014-03-03 15:30:00-0000|213.2|100|2014-03-03 00:00:00-0000|360a7b6b-b253-4a36-a052-ce31c6eb0c62|ACTAVIS INC|1
